occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color
3238,Vespa velutina,BE,NA,gbif,3.93,50.9,11.23461538461538,55.84615384615385,46,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3239,Vespa velutina,BE,NA,gbif,4.52,51.23,11.473076923076974,58.53846153846154,8,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3240,Vespa velutina,NL,NA,gbif,4.35,51.7,11.24230769230769,71.07692307692308,-6,115,Cool Temperate,Moist,Shrubland,Plains,Cool Temperate Moist,26,131,0,Cool Temperate Moist Shrubland on Plains,#1A8300
3241,Vespa velutina,NA,"Impasse du Château, Differdange, Distrikt Lëtzebuerg, LU",inat,5.89,49.52,NA,NA,351,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E
3242,Vespa velutina,NA,"43480 Vila-seca, Tarragona, Spain",inat,1.14,41.11,16.834615384615404,53.53846153846154,33,191,Warm Temperate,Dry,Settlement,Hills,Warm Temperate Dry,173,187,99,Warm Temperate Dry Settlement on Hills,#ADBB63
3243,Vespa velutina,BE,NA,gbif,5.09,50.98,11.480769230769283,48.23076923076923,26,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36
3244,Vespa velutina,NA,"Grassebierg, Bech, District Grevenmacher, LU",inat,6.36,49.75,10.07307692307694,69.23076923076923,329,109,Cool Temperate,Moist,Grassland,Tablelands,Cool Temperate Moist,78,92,155,Cool Temperate Moist Grassland on Tablelands,#4E5C9B
3245,Vespa velutina,NA,"60 Frankfurt am Main-Innenstadt II, Deutschland",inat,8.66,50.12,11.357692307692332,51.23076923076923,111,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
3246,Vespa velutina,BE,NA,gbif,3.83,50.87,11.096153846153811,57.30769230769231,71,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3247,Vespa velutina,NL,NA,gbif,5.85,50.75,NA,NA,227,109,Cool Temperate,Moist,Grassland,Tablelands,Cool Temperate Moist,78,92,155,Cool Temperate Moist Grassland on Tablelands,#4E5C9B
3248,Vespa velutina,NA,"Av Madrid - Galileu, Les Corts, 08014 Barcelona, Espanya",inat,2.13,41.38,16.288461538461547,67.38461538461539,48,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912
3249,Vespa velutina,BE,NA,gbif,3.8,51,11.442307692307736,56.84615384615385,12,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3250,Vespa velutina,BE,NA,gbif,4.59,51.17,11.473076923076974,56.61538461538461,9,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
