occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m
2998,Vespa velutina,NL,NA,gbif,3.35,51.3,11.57307692307694,69.6923076923077,-1
2999,Vespa velutina,NA,"Schwarzer Weg, Düsseldorf, Nordrhein-Westfalen, DE",inat,6.89,51.16,11.457692307692357,62.53846153846154,45
3000,Vespa velutina,BE,NA,gbif,3.69,51.06,11.442307692307736,59.15384615384615,6
3001,Vespa velutina,BE,NA,gbif,4.56,51.31,11.350000000000025,63.07692307692308,21
3002,Vespa velutina,NL,NA,gbif,5.1,51.55,11.226923076923129,63.61538461538461,14
3003,Vespa velutina,NA,"Vaud, CH",inat,6.61,46.52,12.288461538461604,96.3846153846154,422
3004,Vespa velutina,BE,NA,gbif,4.74,50.89,11.373076923076953,48.46153846153846,49
3005,Vespa velutina,NL,NA,gbif,5.75,51.8,NA,NA,9
3006,Vespa velutina,NA,"67659 Kaiserslautern, Deutschland",inat,7.75,49.44,10.788461538461547,53.30769230769231,270
3007,Vespa velutina,NA,"Kandelfeldstraße, Aachen, Nordrhein-Westfalen, DE",inat,6.04,50.77,10.58076923076925,69,222
3008,Vespa velutina,BE,NA,gbif,4.06,51.08,11.473076923076974,58.76923076923077,3
3009,Vespa velutina,NA,"56000 Vannes, France",inat,-2.75,47.65,12.903846153846246,68.61538461538461,11
3010,Vespa velutina,NL,NA,gbif,5.05,51.5,NA,NA,19
3011,Vespa velutina,BE,NA,gbif,3.77,51.21,11.426923076923115,62.07692307692308,3
3012,Vespa velutina,BE,NA,gbif,3.8,50.5,11.173076923076906,57.23076923076923,73
3013,Vespa velutina,BE,NA,gbif,5.32,50.91,11.411538461538557,51,46
3014,Vespa velutina,BE,NA,gbif,4.45,51.32,11.357692307692332,62.76923076923077,16
3015,Vespa velutina,NL,NA,gbif,4.25,51.45,11.357692307692275,64.53846153846153,-4
3016,Vespa velutina,NL,NA,gbif,5.75,51,11.565384615384689,57,32
3017,Vespa velutina,NL,NA,gbif,5.3,51.7,NA,NA,4
3018,Vespa velutina,NL,NA,gbif,5.35,52.1,NA,NA,28
3019,Vespa velutina,BE,NA,gbif,4.48,51.3,11.419230769230808,62.30769230769231,12
3020,Vespa velutina,NA,"Luxembourg, LU-LU, LU",inat,6.13,49.59,10.303846153846166,63.23076923076923,290
3021,Vespa velutina,NA,"Bel-Air, 75012 Paris, France",inat,2.43,48.84,NA,NA,73
3022,Vespa velutina,BE,NA,gbif,3.19,50.98,11.319230769230842,64.6923076923077,26
3023,Vespa velutina,BE,NA,gbif,4.09,51.12,11.296153846153857,61.30769230769231,16
3024,Vespa velutina,FR,NA,gbif,-1.54,46.61,13.203846153846143,82.53846153846153,68
3025,Vespa velutina,BE,NA,gbif,3.35,51.24,11.557692307692378,66.76923076923077,-3
3026,Vespa velutina,BE,NA,gbif,4.28,51.09,11.480769230769283,56.92307692307692,3
3027,Vespa velutina,NA,Ramonville-Saint-Agne,inat,1.47,43.55,14.38846153846157,57.23076923076923,189
3028,Vespa velutina,NL,NA,gbif,3.95,51.2,NA,NA,3
3029,Vespa velutina,NL,NA,gbif,5.2,51.35,11.273076923076928,57.46153846153846,31
3030,Vespa velutina,BE,NA,gbif,4.52,51.21,11.480769230769283,58,7
3031,Vespa velutina,NA,"1873 GA Groet, Niederlande",inat,4.67,52.72,11.06538461538463,81.15384615384616,11
3032,Vespa velutina,NL,NA,gbif,3.75,51.3,NA,NA,1
3033,Vespa velutina,NL,NA,gbif,3.85,51.25,NA,NA,1
3034,Vespa velutina,NL,NA,gbif,4.6,51.9,11.06538461538463,74.38461538461539,0
3035,Vespa velutina,FR,NA,gbif,1.4,43.5,14.457692307692357,55.69230769230769,169
3036,Vespa velutina,BE,NA,gbif,4.06,50.95,11.411538461538498,55.61538461538461,12
3037,Vespa velutina,NL,NA,gbif,6.15,51.5,NA,NA,19
