"longitude","latitude"
4.441555,50.39854
17.435837,46.80165
2.51281,48.87044
5.95,50.9
4.28198,50.85041
7.07276,51.098186
3.11472,51.07943
6.05,53.05
5.9,52.5
10.258656,50.235348
-1.942579,48.690264
4.93937,50.98468
-2.35698,52.079939
4.75539,50.88812
14.94278,59.295
3.34391,51.08736
3.01965,50.9768
5.6,51.45
7.03027,51.431095
4.39251,51.34996
5.6,52.3
8.982402,48.809277
4.3,52.05
4.05202,50.9834
4.372655,50.740855
5.15,51.3
3.03266,48.35965
3.63432,50.84957
4.6,52.35
3.17531,51.18644
6.45,52.6
5.23621,51.10854
5.85,51.3
8.451694,49.360514
4.52937,51.46331
8.95792,52.678328
9.427643,51.642431
3.738184,50.762773
16.10343,61.34753
0.007028,51.856738
16.368325,48.200756
3.60141,50.85806
4.393572,45.422646
3.15126,50.80857
2.36699,46.90082
4.75042,50.83091
6.65,53.05
4.74183,50.79139
5.18645,51.16332
5.05,51.9
3.72161,50.97576
5.79919,50.76042
3.4,51.5
9.700237,52.392544
4.369271,50.682872
6.88569,46.43249
4.42751,51.18869
15.52865,60.50196
7.06963,51.573883
15.89334,56.1382
5.65,51.45
4.28371,50.82172
3.4429,50.78054
3.445914,50.570493
7.27353,47.2433
4.55,51.9
7.295708,50.513653
4.35,51.95
4.37286,50.92546
3.72365,50.93853
4.6,51.65
6.45,52.9
6.635781,51.483929
0.927092,51.186927
7.444993,50.421295
11.095084,53.622967
3.94827,51.04667
7.552622,52.477313
3.55,51.35
6.62414,46.52087
3.70681,50.88579
5.4491,50.82971
5.9,50.75
4.47884,50.88175
4.55,52
5.83338,50.02615
5,52.3
3.72188,51.05618
5.25,52.3
5.2,51.95
7.01117,47.01775
3.02092,51.09735
4.67854,50.86794
